samples_source_ref,Resequenced,Migratory_Access,InversionFreq,N,Pop_ID,Pop_Group,Population,Pop_Order,Map_Number,Latitude,Longitude,checked,STATE_F,COUNTY_F,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,REACH_SITE,HATCHERY,after HM,Nlost,R24370,3,SH114448,4,initial_map_order,trial_map_order
Clemento et al. 2009,NA,Above barrier,0.76,24,Matilij,SoCal,"Ventura, Matilija (above barrier)",53,46,34.57,-119.436,NA,California,Ventura,Ventura River,NA,NA,Matilija Creek,NA,NA,23,1,MatilijM,76.09,MatilijM,71.05,74,74
Clemento et al. 2009,NA,Above Barrier,0.39,23,UpMatil,SoCal,"Ventura, Upper NF Matilija (above barrier)",50,47,34.55,-119.356,NA,California,Ventura,Ventura River,Matilija Creek,NA,Upper North Fork Matilija Creek,NA,NA,23,0,UpMatilM,39.13,UpMatilM,38.1,75,75
Clemento et al. 2009,NA,Above barrier,0.56,23,VenBear,SoCal,"Ventura, NF Matilija, Bear (below barrier)",51,48,34.51,-119.252,NA,California,Ventura,Ventura River,North Fork Matilija Creek,NA,Bear Creek,NA,NA,16,7,VenBearM,56.25,VenBearM,56.25,76,76
Clemento et al. 2009,NA,Above barrier,0.7,24,NFMatil,SoCal,"Ventura, NF Matilija (below barrier; barrier removed in 2005)",52,49,34.49,-119.301,NA,California,Ventura,Ventura River,Matilija Creek,NA,North Fork Matilija Creek,NA,NA,22,2,NFMatilM,70.45,NFMatilM,79.55,77,77
S. Lewis,NA,Above barrier,0.59,24,VenSAna,SoCal,"Ventura, Coyote, Santa Ana (above barrier)",54,50,34.43,-119.339,NA,California,Ventura,Ventura River,Coyote Creek,NA,Santa Ana Creek,NA,NA,23,1,VenSAnaM,58.7,VenSAnaM,58.7,78,78
S. Lewis,NA,Below barrier,0.36,23,VenSAnt,SoCal,"Ventura, San Antonio (below barrier)",55,51,34.39,-119.295,NA,California,Ventura,Ventura River,NA,NA,San Antonio Creek,NA,NA,22,1,VenSAntM,36.36,VenSAntM,36.36,79,79
Abadia-Cardoso et al. 2016,NA,Above barrier,0.5,16,WFSGab,SoCal,West Fork San Gabriel (above reservoir),56,52,34.25,-118.018,NA,California,Los Angeles,San Gabriel River,NA,NA,West Fork San Gabriel River,NA,NA,16,0,WFSGabM,50,WFSGabM,50,81,80
Abadia-Cardoso et al. 2016,NA,Above barrier,0.7,20,EFSnGab,SoCal,East Fork San Gabriel (above reservoir),57,53,34.3,-117.759,NA,California,Los Angeles,San Gabriel River,NA,NA,East Fork San Gabriel River,NA,NA,20,0,EFSnGabM,70,EFSnGabM,75,80,81
Abadia-Cardoso et al. 2016,NA,Above barrier,1,19,Coldwtr,SoCal,"Santa Ana, Temescal, Coldwater Canyon",58,54,33.76,-117.493,NA,California,Orange,Santa Ana River,Temescal Wash,NA,Coldwater Canyon Creek,NA,NA,17,2,ColdwtrM,100,ColdwtrM,100,82,82
Abadia-Cardoso et al. 2016,1,Above barrier,0.79,12,SnLuisR,SoCal,West Fork San Luis Rey (above Lake Henshaw),59,55,33.33,-116.819,NA,California,San Diego,San Luis Rey River,NA,NA,West Fork San Luis Rey,NA,NA,12,0,SnLuisRM,79.17,SnLuisRM,79.17,83,83
